0	0	1	1	2
0.44	0.38	0.73	0.63	0.31
1.53	0.61	0.71	0.3	1.39
1.14	2.43	1.71	1.26	1.46
1.06	2.08	3.24	2.41	0.93
1.08	1.01	3.25	2.2	0.87
0.84	1.09	0.66	1.4	0.84
0.91	0.56	1.57	0.47	0.67
0.38	0.39	0.21	0.34	0.43
0.87	1.41	1.5	0.86	2.68
0.61	1.13	0.33	0.33	0.37
0.31	0.53	1.47	1.76	0.77
0.82	1.12	0.68	0.29	1.02
1.85	3.35	1.27	1.15	0.93
0.77	0.69	1.37	0.92	0.79
0.65	2.6	2.21	1.75	1.43
1.48	1.82	1.65	1.31	1.45
1.03	0.83	2.22	2.09	1.13
1.01	1.09	1.79	1.81	0.82
0.71	0.56	1.72	0.8	0.82
1.89	1.15	1.23	1.21	1.4
0.55	0.96	1.27	1.57	0.54
0.97	0.63	0.65	0.99	0.97
2.44	4.02	1.47	1.25	1.44
0.68	1.58	1.93	1.18	0.59
0.98	1.03	1.46	1.17	1.05
1.99	2.63	1.6	0.95	1.28
0.82	1.54	1	0.65	1.62
0.93	0.95	3.47	2.15	0.89
1.33	1.88	1.44	1.15	1.57
1.31	1.17	1.28	1.58	0.89
0.74	0.72	0.37	0.78	0.85
0.85	0.91	1.06	1.23	0.67
1.9	2.77	3.15	0.71	1.94
0.8	1.12	1.56	0.75	1.22
0.73	0.57	1.79	3.23	1.08
0.87	0.41	0.38	0.82	1.42
0.62	0.93	1.11	1.08	1.07
0.9	0.96	2.16	0.75	0.62
0.9	0.69	0.64	0.7	1.15
1.45	1.6	2.41	1.5	1.53
1.67	1.88	1.4	1.16	1.14
0.6	0.34	1.02	0.29	0.49
0.78	0.84	0.43	0.31	0.38
0.85	0.47	0.55	0.49	0.75
1.2	2.89	0.73	0.54	0.72
2.84	1.52	2.57	1.85	2.6
0.54	0.78	1.58	0.99	0.56
0.93	0.76	0.88	0.7	0.75
0.48	0.88	0.78	0.59	0.69
1.82	1.54	1.02	1.36	0.84
0.73	1.05	0.74	0.95	0.85
1.8	1.02	1	1.29	1.42
0.64	0.55	0.43	0.73	0.45
3.45	10.42	10.22	4.09	4.1
1.17	2.43	1.89	0.54	3.89
5.65	19.54	10.68	5.41	5.9
1.1	1.49	1.44	0.78	1.01
0.83	0.56	0.45	0.36	0.92
0.66	1.29	1.38	1.28	0.53
1.7	1.21	0.69	0.76	1.01
1.48	3.51	2.36	1.82	1.52
0.99	0.96	1.2	1.06	0.88
1.42	1.56	3.46	2.62	0.99
1	1.33	1.34	2.55	0.99
0.36	0.48	0.53	0.33	0.45
0.91	0.97	1.02	1.83	0.28
1.18	1.43	1.73	0.95	1.88
0.68	0.63	0.72	0.79	0.55
